Chemical,Label
NCGC00357184-01,0.057507
NCGC00357238-01,0.074346
NCGC00357220-01,0.051400
NCGC00357252-01,0.033395
NCGC00357159-01,0.083171
NCGC00356947-01,0.079357
NCGC00357063-01,0.025094
NCGC00356982-01,0.053948
NCGC00357219-01,0.212062
NCGC00357037-01,0.062798
NCGC00356975-01,0.058951
NCGC00357169-01,0.142278
NCGC00357022-01,0.158466
NCGC00357165-01,0.049830
NCGC00357122-01,0.165899
NCGC00357212-01,0.082868
NCGC00357263-01,0.210544
NCGC00357052-01,0.094371
NCGC00356952-01,0.212497
NCGC00357225-01,0.110610
NCGC00356944-01,0.017105
NCGC00357053-01,0.141879
NCGC00357202-01,0.077282
NCGC00357013-01,0.132161
NCGC00357131-01,0.098783
NCGC00357127-01,0.083803
NCGC00357147-01,0.127537
NCGC00357267-01,0.018471
NCGC00356979-01,0.061773
NCGC00357179-01,0.107665
NCGC00356945-01,0.027760
NCGC00357068-01,0.027169
NCGC00357002-01,0.051514
NCGC00356974-01,0.021722
NCGC00357109-01,0.441076
NCGC00356988-01,0.503502
NCGC00357117-01,0.512568
NCGC00357239-01,0.031444
NCGC00356961-01,0.104153
NCGC00356966-01,0.053144
NCGC00356996-01,0.030563
NCGC00356950-01,0.092623
NCGC00356969-01,0.060906
NCGC00357050-01,0.012211
NCGC00357258-01,0.050408
NCGC00357186-01,0.027195
NCGC00357115-01,0.014951
NCGC00356940-01,0.057129
NCGC00357130-01,0.015621
NCGC00356959-01,0.023695
NCGC00356985-01,0.007830
NCGC00357125-01,0.039283
NCGC00357270-01,0.028424
NCGC00357031-01,0.006072
NCGC00357137-01,0.011727
NCGC00357102-01,0.052050
NCGC00357228-01,0.085444
NCGC00356965-01,0.209894
NCGC00357151-01,0.111578
NCGC00357280-01,0.311752
NCGC00357097-01,0.147907
NCGC00357272-01,0.018152
NCGC00357229-01,0.072690
NCGC00357200-01,0.051048
NCGC00357273-01,0.179567
NCGC00357088-01,0.025533
NCGC00357101-01,0.064585
NCGC00357287-01,0.043218
NCGC00357253-01,0.112926
NCGC00357177-01,0.077496
NCGC00357152-01,0.025919
NCGC00357140-01,0.254405
NCGC00357086-01,0.062965
NCGC00357150-01,0.008919
NCGC00357040-01,0.022230
NCGC00357172-01,0.038160
NCGC00357135-01,0.022110
NCGC00357207-01,0.169519
NCGC00356990-01,0.017338
NCGC00357276-01,0.071562
NCGC00357016-01,0.004834
NCGC00357247-01,0.028160
NCGC00357286-01,0.072206
NCGC00357255-01,0.394787
NCGC00357025-01,0.118193
NCGC00357008-01,0.207709
NCGC00357128-01,0.243246
NCGC00356978-01,0.200694
NCGC00357072-01,0.759398
NCGC00357195-01,0.116581
NCGC00357215-01,0.032001
NCGC00357038-01,0.212964
NCGC00357208-01,0.036248
NCGC00357099-01,0.080160
NCGC00357007-01,0.127472
NCGC00356989-01,0.530232
NCGC00357246-01,0.277665
NCGC00357081-01,0.189952
NCGC00357281-01,0.333409
NCGC00357244-01,0.041681
NCGC00357194-01,0.069061
NCGC00357193-01,0.049967
NCGC00357006-01,0.007291
NCGC00357041-01,0.051463
NCGC00357074-01,0.038791
NCGC00357166-01,0.070753
NCGC00357070-01,0.025849
NCGC00357222-01,0.065613
NCGC00357245-01,0.077758
NCGC00357217-01,0.004912
NCGC00357015-01,0.006339
NCGC00357261-01,0.033654
NCGC00357060-01,0.018845
NCGC00357104-01,0.212862
NCGC00357176-01,0.169426
NCGC00357187-01,0.154231
NCGC00357066-01,0.139660
NCGC00357216-01,0.121367
NCGC00357148-01,0.516068
NCGC00357078-01,0.119439
NCGC00357027-01,0.048632
NCGC00357180-01,0.308156
NCGC00356946-01,0.216265
NCGC00356970-01,0.105964
NCGC00357191-01,0.125703
NCGC00357077-01,0.066869
NCGC00357069-01,0.024411
NCGC00356958-01,0.133428
NCGC00357121-01,0.068758
NCGC00357067-01,0.089230
NCGC00357243-01,0.123710
NCGC00357100-01,0.018127
NCGC00356960-01,0.013715
NCGC00357136-01,0.028603
NCGC00357158-01,0.037081
NCGC00357126-01,0.243262
NCGC00357110-01,0.112317
NCGC00357178-01,0.626234
NCGC00357167-01,0.252584
NCGC00357096-01,0.200008
NCGC00357230-01,0.334692
NCGC00357257-01,0.057141
NCGC00356951-01,0.117217
NCGC00357241-01,0.079470
NCGC00357024-01,0.099242
NCGC00357233-01,0.099242
NCGC00357197-01,0.011957
NCGC00357142-01,0.025128
NCGC00357231-01,0.060899
NCGC00357044-01,0.140049
NCGC00357209-01,0.262557
NCGC00357045-01,0.139414
NCGC00357075-01,0.068031
NCGC00356938-01,0.174097
NCGC00357065-01,0.026711
NCGC00357094-01,0.068248
NCGC00357083-01,0.144907
NCGC00357085-01,0.121236
NCGC00357236-01,0.043901
NCGC00357035-01,0.016496
NCGC00357108-01,0.043429
NCGC00357235-01,0.127314
NCGC00357224-01,0.254268
NCGC00357211-01,0.017992
NCGC00357039-01,0.015003
NCGC00357264-01,0.020244
NCGC00357285-01,0.054257
NCGC00357032-01,0.042932
NCGC00357059-01,0.075349
NCGC00357061-01,0.051253
NCGC00357190-01,0.087854
NCGC00356943-01,0.205915
NCGC00357005-01,0.153559
NCGC00357251-01,0.120958
NCGC00356992-01,0.180268
NCGC00357254-01,0.028018
NCGC00357199-01,0.075406
NCGC00356957-01,0.251298
NCGC00356968-01,0.047650
NCGC00357268-01,0.252167
NCGC00357256-01,0.101738
NCGC00357141-01,0.019059
NCGC00357093-01,0.086459
NCGC00357087-01,0.115431
NCGC00357223-01,0.132861
NCGC00357119-01,0.019358
NCGC00357003-01,0.084591
NCGC00357275-01,0.202535
NCGC00357014-01,0.154180
NCGC00357011-01,0.562066
NCGC00356976-01,0.234191
NCGC00357175-01,0.634945
NCGC00357021-01,0.004220
NCGC00357221-01,0.268177
NCGC00356972-01,0.030851
NCGC00357133-01,0.027162
NCGC00357056-01,0.131229
NCGC00356980-01,0.108926
NCGC00357206-01,0.128783
NCGC00357250-01,0.063951
NCGC00356997-01,0.262953
NCGC00356998-01,0.153513
NCGC00357282-01,0.041429
NCGC00356948-01,0.027709
NCGC00357054-01,0.140553
NCGC00356956-01,0.012483
NCGC00356994-01,0.289709
NCGC00357234-01,0.180177
NCGC00357111-01,0.312401
NCGC00357155-01,0.166194
NCGC00357098-01,0.140418
NCGC00357156-01,0.138931
NCGC00357019-01,0.105609
NCGC00357095-01,0.037976
NCGC00357226-01,0.108064
NCGC00357249-01,0.177562
NCGC00357017-01,0.128958
NCGC00357259-01,0.037064
NCGC00357051-01,0.391900
NCGC00356954-01,0.026370
NCGC00357020-01,0.040801
NCGC00357168-01,0.045195
NCGC00357283-01,0.019983
NCGC00357210-01,0.097235
NCGC00357118-01,0.206184
NCGC00357144-01,0.055610
